info:nul/6242c100-55cf-4164-bb82-9bf8976c7d8a,"Giottino (Italian painter, active ca. 1368)"
info:nul/62ad9a38-3078-4e8f-ab37-cd8f27abbf3c,"Lorenzetti, Ambrogio (Italian painter, 1285-ca. 1348) attributed to"
info:nul/ab741d02-9494-4e2b-8ca2-4366dfa98c72,"Gaddi, Taddeo (Florentine painter, active mid-1320s, died 1366)"
info:nul/f287d3da-9cbf-4772-800c-4e1df3dd3eb6,"Cecco di Pietro (Italian painter, active 1370, died before 1402)"
info:nul/c3e655e8-8fba-41ef-8f81-018f45cd7169,"Deodato Orlandi (Italian painter, active 1288-1315, died before 1331)"
info:nul/b3a9db0e-3dc7-4657-a1ee-328879f6c77d,"Lippo Memmi (Italian painter, active 1317-ca. 1350)"
info:nul/359f0187-4cec-4d3d-86ab-f63e9f264fa0,"Martini, Simone (Italian painter, ca. 1284-1344)"
info:nul/49bb4554-9cd0-4c4b-b829-2ed2e26e65d8,"Andrea da Firenze (Italian painter, active 1346, died 1379)"
info:nul/50a80fa1-18f9-47cc-84ea-2fbdfb03c219,"Pacino di Bonaguida (Italian painter and illuminator, active 1302-before 1340)"
info:nul/cd5bdbc8-64d6-4f6f-83ae-ee6689436589,"Sano di Pietro (Sienese painter and miniaturist, 1405-1481)"
info:nul/e9ef8a6c-5042-4691-863f-d6e1ba1f2bfb,"Master of Grosslobming (Austrian sculptor, active ca. 1380-1420) circle of"
info:nul/aa7d2db8-fac5-424c-aa5f-69cf5e799f68,"Huber, Wolfgang (Austrian painter, draftsman, and architect, ca. 1485-1553)"
info:nul/7bbc2763-6fa5-4523-9a3f-6e2eabc814ab,"Altdorfer, Albrecht (German painter and printmaker, ca. 1480-1538) after"
info:nul/a403dfd9-ac7f-4dd9-afbf-e9bc42190419,"Pacher, Michael (Austrian or German painter and sculptor, died 1498) circle of"
info:nul/7166a9c0-f8f0-4888-947d-6fa584877f7e,"Rejsek, Matej (Czech architect, ca. 1445-1506)"
info:nul/aa290e4c-08ab-4e6a-b9b4-917f80b0fa75,"Parler, Peter (German architect and sculptor, ca. 1333-1399)"
info:nul/c7628124-c331-4cab-b902-0b31f1e12c4f,"Domenico da Cortona (Italian architect and woodworker, ca. 1470-ca. 1549, active in France) attributed to"
info:nul/9ca9b366-a8ac-4bd0-99fc-8011eedd3f58,"Campin, Robert (Flemish painter and draftsman, ca. 1375/1379-1444)"
info:nul/fefcb873-3a0b-4ee5-90cd-5b0f1cb46358,"Muscat, Jorg (German sculptor, ca.1450-ca.1527)"
info:nul/9d56cf57-d933-473e-801b-1aeab5cd1a44,"Pilgram, Anton, II (Moravian architect, sculptor, ca. 1460-1515)"
info:nul/00cc014f-540a-454e-99e9-129ff4577122,"Riemenschneider, Tilman (German sculptor, ca.1460-1531)"
info:nul/60cc1947-2d8d-4aee-a076-b5c5ceb25060,"Patinir, Joachim (South Netherlandish painter, ca. 1480-before 1524)"
info:nul/1daff620-712b-474d-865a-84a9735e0d41,"Erhart, Michel (German sculptor, ca.1440-after 1522)"
info:nul/86f3ade1-2cb4-46b6-96da-acb9d2c4328f,"Orley, Bernaert van (Flemish painter and draftsman, born ca. 1488 - 1492, died ca. 1541 or 1542)"
info:nul/725462da-2247-4864-b0cd-a7ea1a07df5d,"Broecke, Willem van den (Netherlandish sculptor, 1530-1580)"
info:nul/af13a676-8785-44fe-add3-196d3710b105,Chaleveau 16th c
info:nul/4709bbcd-ae15-4acb-9826-072fe2bef000,"Regnault, Guillaume (French sculptor, born 1450 or 1455, died 1532 or 1533)"
info:nul/4ca15704-cc67-426d-a7c8-6ba2202f4d6e,"Metsys, Quinten (South Netherlandish painter, 1466-1530)"
info:nul/88265e9e-ecdf-47fc-9370-799b9483f747,"Master of Saint Augustine (Netherlandish painter, active ca.1480-1490)"
info:nul/6bc23983-954d-40a7-8695-a6aa0a85a1fd,"Goujon, Jean (French sculptor, illustrator, and architect, ca. 1510-ca. 1565)"
info:nul/5d42f92a-8c08-40c7-b0b5-bff81b109501,"Lescot, Pierre (French architect, born ca. 1500-1510, died 1578)"
info:nul/aa828b86-2a25-447d-802c-eccbee90a6df,"Le Vau, Louis (French architect, 1612-1670)"
info:nul/1b0fefa6-a18d-4ddd-a7c7-12cf24d0eedf,"Le Moiturier, Antoine (French sculptor, ca.1425-ca.1497)"
info:nul/95670d52-f367-4965-9cab-f20623abd10b,"Mellot, Guiraud, active ca. 1550 workshop of"
info:nul/9069f23e-fbb4-4b9a-91fa-103efc9bec34,"Bruegel, Pieter, I (Flemish painter, ca. 1525-1569) after"
info:nul/bc1060b3-4691-44a6-9df0-21e14aa5b912,"Pilon, Germain (French sculptor and medalist, ca. 1525-1590)"
info:nul/71a61db0-6db1-4da0-a657-5711764baa4d,"Master of Heiligenkreuz (Austrian painter, active ca. 1395-1420)"
info:nul/cdb298b9-c4ab-4e5e-bd1b-2ddf0ba8a59f,"Pseudo Blesius (Netherlandish painter, active ca. 1520)"
info:nul/5664b6c1-9fe4-44ac-9003-527f91e3aa0f,"Master of 1477 (German artist, active 1470-1490)"
info:nul/ec282615-e51b-469d-a53c-39cb09c55a17,"Ysenbrandt, Adrien (Flemish painter, ca. 1500-before 1551)"
info:nul/97c5de62-3a5e-4ace-ad96-4ac03e1e58f2,"Bruegel, Pieter, I (Flemish painter, ca. 1525-1569)"
info:nul/296c2f08-5bec-4a75-8d90-b0f68958205e,"Bruegel, Pieter, I (Flemish painter, ca. 1525-1569) circle of"
info:nul/744f8e94-59b1-476f-b397-ecbaf9ed360e,"Floris, Frans, the elder (Flemish painter and printmaker, ca. 1519-1570)"
info:nul/5fb5a522-0bec-4579-a2e3-d95c0bd5b007,Tournai
info:nul/9b8295ec-182d-4561-9409-3ffbd855b976,"Master of San Filippo (Italian artist, 1500-1550)"
info:nul/ca777737-844b-47bf-bc20-b6da073447ab,"Bles, Herri met de (Flemish painter, born ca. 1510, died after 1550)"
info:nul/30ffaed9-3c6a-48a5-acfe-d00b4962f3bc,"Cleve, Joos van (South Netherlandish painter, died 1540 or 1541)"
info:nul/e7f24c63-2862-476d-b109-b4d7ddf67d85,"Weyden, Rogier van der (Flemish painter, ca. 1399-1464)"
info:nul/266e3a66-a356-4dae-b35f-68bd018c9a21,"Memling, Hans (South Netherlandish, born 1430-1440, died 1494)"
info:nul/39afd954-01c6-4078-bf21-56f8d20cfc56,Tournai or Arras
info:nul/52ae2f8e-aaf2-4d9e-8c17-898f95d738ef,"Bosch, Hieronymus (Netherlandish painter and draftsman, ca. 1450-1516)"
info:nul/b19986d8-810f-443c-b754-2dacf028bfad,"Bosch, Hieronymus (Netherlandish painter and draftsman, ca. 1450-1516) follower of"
info:nul/c0c0783b-8895-43a4-a60c-f060ce984415,"Beuckelaer, Joachim (Flemish painter and draftsman, ca. 1533 - 1574)"
info:nul/c1c56c19-393b-44f8-af65-4f567f525d07,"Cleve, Marten van, I (Netherlandish painter, ca. 1527-1581)"
info:nul/1317124a-b953-48f3-870b-9c3beca94576,"Coxie, Michiel, I (Flemish painter, 1499-1592)"
info:nul/3d4826b5-1322-49cc-a02e-ff94e4a8a132,"Eyck, Jan van (Netherlandish painter, ca.1390-1441)"
info:nul/2ace57db-280e-487b-b720-3449dc84f0c1,"Gossaert, Jan (Flemish painter, draftsman, and printmaker, ca. 1472-1532)"
